year_init,fit,lower,higher,tau
2005,20.3766233766234,19.0475038286213,21.7057429246255,0.25
2006,21,20.065705468935,21.934294531065,0.25
2007,21.6103896103896,20.9595245918627,22.2612546289166,0.25
2008,22.2077922077922,21.6921007003833,22.7234837152012,0.25
2009,22.7922077922078,22.2666120550593,23.3178035293564,0.25
2010,23.3636363636364,22.7635053539235,23.9637673733493,0.25
2011,23.922077922078,23.249445353574,24.5947104905819,0.25
2012,24.4675324675325,23.748473373833,25.186591561232,0.25
2013,25,24.2603110089385,25.7396889910616,0.25
2014,25.5194805194805,24.7677826598955,26.2711783790656,0.25
2015,26.0259740259741,25.2371175779277,26.8148304740205,0.25
2016,26.5194805194806,25.6252890058194,27.4136720331417,0.25
2017,27,25.901459585147,28.0985404148531,0.25
2018,27.4675324675325,26.0593396598855,28.8757252751795,0.25
2019,27.922077922078,26.1064550780081,29.7377007661478,0.25
2005,24.1363636363637,23.1227991542959,25.1499281184314,0.5
2006,25,24.278872923152,25.721127076848,0.5
2007,25.8106060606061,25.2952262005794,26.3259859206328,0.5
2008,26.5681818181818,26.144213208974,26.9921504273897,0.5
2009,27.2727272727273,26.833405704744,27.7120488407106,0.5
2010,27.9242424242424,27.4233641553544,28.4251206931305,0.5
2011,28.5227272727273,27.9625515176626,29.082903027792,0.5
2012,29.0681818181818,28.4706051507365,29.6657584856272,0.5
2013,29.5606060606061,28.95147291809,30.1697392031222,0.5
2014,30,29.3993218862781,30.600678113722,0.5
2015,30.3863636363637,29.7977104952096,30.9750167775177,0.5
2016,30.719696969697,30.1170693880104,31.3223245513836,0.5
2017,31,30.3212520975318,31.6787479024683,0.5
2018,31.2272727272728,30.3882310339554,32.0663144205901,0.5
2019,31.4015151515152,30.3185473403501,32.4844829626802,0.5
2005,28.8923076923077,27.6009857016426,30.1836296829728,0.75
2006,30,29.1018201495817,30.8981798504184,0.75
2007,31.0153846153846,30.3907538697439,31.6400153610254,0.75
2008,31.9384615384616,31.427444897497,32.4494781794262,0.75
2009,32.7692307692308,32.2272337324161,33.3112278060455,0.75
2010,33.5076923076923,32.8808455838143,34.1345390315704,0.75
2011,34.1538461538462,33.4507348737841,34.8569574339083,0.75
2012,34.7076923076923,33.9563331264538,35.4590514889309,0.75
2013,35.1692307692308,34.394149744575,35.9443117938866,0.75
2014,35.5384615384616,34.7440572240028,36.3328658529203,0.75
2015,35.8153846153846,34.9701622936623,36.660606937107,0.75
2016,36,35.0302629009938,36.9697370990063,0.75
2017,36.0923076923077,34.8966855662998,37.2879298183157,0.75
2018,36.0923076923077,34.5648823484324,37.6197330361831,0.75
2019,36,34.042196898409,37.957803101591,0.75
